ID;search_name;name;synonyms;formula;num_carbons;mol_weight;inchi;inchi_key;cas_rn;mol_refs;Tfus;Tboil;Pc;Tc;ρc;ΔfH°gas;ΔfH°liquid;ΔfH°solid
C76039;Trichloroacetic Acid;Trichloroacetic Acid;['Acetic acid, trichloro-', 'Aceto-Caustin', 'Amchem Grass Killer', 'Trichloroethanoic acid', 'TCA', 'CCl3COOH', 'Acide trichloracetique', 'Acido tricloroacetico', 'Trichloorazijnzuur', 'Trichloracetic acid', 'Trichloressigsaeure', 'Konesta', 'Kyselina trichloroctova', 'UN 1839', 'TKhUK', 'TKhU', 'Acetic acid, 2,2,2-trichloro-', 'NSC 215204'];C2HCl3O2;2;163.387;InChI=1S/C2HCl3O2/c3-2(4,5)1(6)7/h(H,6,7);YNJBWRMUSHSURL-UHFFFAOYSA-N;76-03-9;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C76039'};332.19;469.42;;;;-433.67;;
C64186;Formic Acid;Formic acid;['Methanoic acid', 'Aminic acid', 'Bilorin', 'Collo-Bueglatt', 'Collo-Didax', 'Formisoton', 'Formylic acid', 'Hydrogen carboxylic acid', 'Myrmicyl', 'HCOOH', 'Acide formique', 'Acido formico', 'Ameisensaeure', 'Kwas metaniowy', 'Kyselina mravenci', 'Mierenzuur', 'Rcra waste number U123', 'UN 1779', 'Formira', 'Add-F', 'Amasil'];CH2O2;1;46.0254;InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3);BDAGIHXWWSANSR-UHFFFAOYSA-N;64-18-6;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C64186', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C64186'};281.5;373.9;;581.67;;-378.72;-425.13;
C143077;Lauric Acid;Dodecanoic acid;['n-Dodecanoic acid', 'Neo-fat 12', 'Aliphat no. 4', 'ABL', 'Dodecylic acid', 'Lauric acid', 'Laurostearic acid', 'Neo-fat 12-43', 'Ninol aa62 extra', 'Univol U-314', 'Vulvic acid', '1-Undecanecarboxylic acid', 'Duodecylic acid', 'C-1297', 'Hydrofol acid 1255', 'Hydrofol acid 1295', 'Wecoline 1295', 'Dodecoic acid', 'Hystrene 9512', 'Lunac L 70', 'Emery 650', 'Philacid 1200', 'Prifrac 2920', 'Undecane-1-carboxylic acid', 'Acide Laurique', 'Emery 651', 'Lauric acid (dodecanoic acid)', 'Dodecanoic (Lauric) acid', 'dodecanoic acid (lauric acid)'];C12H24O2;12;200.3178;InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14);POULHZVOKOAJMA-UHFFFAOYSA-N;143-07-7;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C143077', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C143077'};317.0;571.0;18.68;743.43;;;;
C79107;Acrylic Acid;2-Propenoic acid;['Acrylic acid', 'Acroleic acid', 'Ethylenecarboxylic acid', 'Propenoic acid', 'Vinylformic acid', 'CH2=CHCOOH', 'Propene acid', 'Kyselina akrylova', 'Rcra waste number U008', 'Glacial acrylic acid', 'NSC 4765'];C3H4O2;3;72.0627;InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5);NIXOWILDQLNWCW-UHFFFAOYSA-N;79-10-7;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C79107', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C79107'};286.43;413.5;52.43;616.57;;-330.77;-380.8;
C65850;Benzoic Acid;Benzoic acid;['Benzenecarboxylic acid', 'Benzeneformic acid', 'Benzenemethanoic acid', 'Benzoesaeure GK', 'Benzoesaeure GV', 'Carboxybenzene', 'Dracylic acid', 'Phenylcarboxylic acid', 'Phenylformic acid', 'Retarder BA', 'Retardex', 'Salvo, liquid', 'Solvo, powder', 'Tenn-Plas', 'Acide benzoique', 'Benzoic acid, tech.', 'Kyselina benzoova', 'Benzoesaeure', 'Salvo powder', 'E 210', 'HA 1', 'HA 1 (acid)', 'Phenylcarboxy', 'Benzenemethonic acid', 'Diacylic acid', 'Flowers of benjamin', 'Flowers of benzoin', 'Oracylic acid', 'Retarder BAX', 'NSC 149'];C7H6O2;7;122.1213;InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9);WPYMKLBDIGXBTP-UHFFFAOYSA-N;65-85-0;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C65850', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C65850'};395.2;522.74;;;;;;-385.4
C64197;Acetic Acid;Acetic acid;['Ethanoic acid', 'Ethylic acid', 'Glacial acetic acid', 'Methanecarboxylic acid', 'Vinegar acid', 'CH3COOH', 'Acetasol', 'Acide acetique', 'Acido acetico', 'Azijnzuur', 'Essigsaeure', 'Octowy kwas', 'Acetic acid, glacial', 'Kyselina octova', 'UN 2789', 'Aci-jel', 'Shotgun', 'Ethanoic acid monomer', 'NSC 132953'];C2H4O2;2;60.052;InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4);QTBSBXVTEAMEQO-UHFFFAOYSA-N;64-19-7;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C64197', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C64197'};289.6;391.2;57.94;593.0;5.84;-433.0;-484.78;
C124072;Caprylic Acid;Octanoic acid;['n-Caprylic acid', 'n-Octanoic acid', 'n-Octoic acid', 'n-Octylic acid', 'Neo-Fat 8', 'Caprylic acid', 'Enantic acid', 'Octylic acid', '1-Heptanecarboxylic acid', 'Heptane-1-carboxylic acid', 'Octic acid', 'Hexacid 898', 'C-8 Acid', 'Kyselina kaprylova', 'Lunac 8-95', 'Emery 657', 'Octoic acid', 'Prifac 2901', '1-Octanoic acid', 'NSC 5024', 'Prifrac 2901'];C8H16O2;8;144.2114;InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10);WWZKQHOCKIZLMA-UHFFFAOYSA-N;124-07-2;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C124072', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C124072'};289.3;510.0;27.11;694.73;;-555.42;-635.84;
C57114;Stearic Acid;Octadecanoic acid;['Stearic acid', 'n-Octadecanoic acid', 'Humko Industrene R', 'Hydrofol Acid 150', 'Hystrene S-97', 'Hystrene T-70', 'Hystrene 80', 'Industrene R', 'Kam 1000', 'Kam 2000', 'Kam 3000', 'Neo-Fat 18', 'Neo-Fat 18-53', 'Neo-Fat 18-54', 'Neo-Fat 18-55', 'Neo-Fat 18-59', 'NAA 173', 'PD 185', 'Stearex Beads', 'Stearophanic acid', 'Steric acid', 'Vanicol', '1-Heptadecanecarboxylic acid', 'Heptadecanecarboxylic acid', 'Neo-fat 18-61', 'Pearl stearic', 'Century 1240', 'Dar-chem 14', 'Emersol 120', 'Emersol 132', 'Emersol 150', 'Formula 300', 'Glycon DP', 'Glycon TP', 'Glycon S-70', 'Glycon S-80', 'Glycon S-90', 'Groco 54', 'Groco 55', 'Groco 55L', 'Groco 58', 'Groco 59', 'Hy-phi 1199', 'Hy-phi 1205', 'Hy-phi 1303', 'Hy-phi 1401', 'Hydrofol acid 1655', 'Hydrofol acid 1855', 'Hydrofol 1895', 'Hystrene 4516', 'Hystrene 5016', 'Hystrene 7018', 'Hystrene 9718', 'Industrene 5016', 'Neo-Fat 18-S', 'Tegostearic 254', 'Tegostearic 255', 'Tegostearic 272', 'Cetylacetic acid', 'Industrene 8718', 'Industrene 9018', 'Barolub FTA', 'Loxiol G 20', 'Lunac S 20', 'Emersol 153', 'Century 1210', 'Century 1220', 'Century 1230', 'Emersol 6349', 'Hystrene 7018 FG', 'Hystrene 9718 NF FG', 'Industrene 4518', 'Industrene 7018 FG', 'n-Octadecylic acid', 'Pristerene 4904', 'Promulsin', 'Proviscol wax', 'Stearex', 'Tsubaki', 'Vis-Plus', 'Prifac 2918', 'Adeka Fatty Acid SA 910', 'Century 1224', 'Edenor C18', 'Hydrofol Acid 1895', 'Kiri stearic acid', 'Lunac S 40', 'SA 400 (fatty acid)', 'WO 2 (fatty acid)', 'Octadecanoic acid (stearic acid)', 'Emersol 110 (Salt/Mix)', 'Emery 400 (Salt/Mix)'];C18H36O2;18;284.4772;InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20);QIQXTHQIDYTFRH-UHFFFAOYSA-N;57-11-4;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C57114'};341.0;632.67;13.27;805.09;;;-891.0;-912.0
C334485;Capric Acid;n-Decanoic acid;['Decanoic acid', 'n-Capric acid', 'n-Decoic acid', 'n-Decylic acid', 'Capric acid', 'Caprinic acid', 'Caprynic acid', 'Decoic acid', 'Decylic acid', '1-Nonanecarboxylic acid', 'Nonane-1-carboxylic acid', 'neo-Fat 10', 'Hexacid 1095', 'Emery 659', 'Prifrac 296', '1-Decanoic acid', 'NSC 5025', 'Decanoic acid (capric acid)'];C10H20O2;10;172.2646;InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12);GHVNFZFCNZKVNT-UHFFFAOYSA-N;334-48-5;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C334485', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C334485'};304.0;530.0;21.31;723.26;;-624.2;;
C112801;Oleic Acid;Oleic Acid;"['9-Octadecenoic acid (Z)-', 'Δ9-cis-Oleic acid', 'cis-Oleic Acid', 'cis-9-Octadecenoic Acid', 'Emersol 211', 'Emersol 220 White Oleic Acid', 'Emersol 221 Low Titer White Oleic Acid', 'Oelsauere', 'Oleine 7503', 'Pamolyn 100', 'Vopcolene 27', 'Wecoline OO', 'Z-9-Octadecenoic acid', 'cis-Octadec-9-enoic acid', 'cis-Δ9-octadecenoic acid', 'cis-Δ9-Octadecenoate', 'neo-Fat 90-04', 'neo-Fat 92-04', 'Century cd fatty acid', 'Elaidoic acid', 'Emersol 210', 'Emersol 213', 'Emersol 6321', 'Glycon RO', 'Glycon WO', 'Groco 2', 'Groco 4', 'Groco 5l', 'Groco 6', 'Hy-phi 1055', 'Hy-phi 1088', 'Hy-phi 2066', 'Hy-phi 2088', 'Hy-phi 2102', 'K 52', ""L'Acide oleique"", 'Metaupon', 'Tego-oleic 130', '9-Octadecenoic acid, cis-', 'Elaic acid', 'Industrene 105', 'Industrene 205', 'Industrene 206', 'Oleinic acid', 'Pamolyn', 'Wochem no. 320', '(Z)-9-Octadecanoic acid', 'Emersol 6313 NF', 'Priolene 6906', '9-(Z)-octadecenoic acid', '(Z)-Octadec-9-enoic acid', '9-Octadecenoic acid (9Z)-', 'D 100', 'Emersol 205', 'Extraolein 90']";C18H34O2;18;282.4614;InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-;ZQPPMHVWECSIRJ-KTKRTIGZSA-N;112-80-1;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C112801', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C112801'};289.45;;;;;;-764.8;
